Start Time		End Time		Location	Activity
----------		--------		--------	--------
2012-11-11 21:14:21	2012-11-12 00:21:49	Seat		Spare_Time/TV
2012-11-12 00:22:57	2012-11-12 00:22:59	Door Bathroom		Spare_Time/TV
2012-11-12 00:24:20	2012-11-12 00:24:22	Door Kitchen		Spare_Time/TV
2012-11-12 00:24:42	2012-11-12 00:24:54	Door Bathroom		Spare_Time/TV
2012-11-12 00:25:35	2012-11-12 00:42:56	Seat		Spare_Time/TV
2012-11-12 00:43:46	2012-11-12 00:43:49	Door Bathroom		Spare_Time/TV
2012-11-12 00:50:29	2012-11-12 00:50:32	Door Bathroom		Spare_Time/TV
2012-11-12 01:53:19	2012-11-12 01:53:22	Door Bathroom		Toileting
2012-11-12 01:53:27	2012-11-12 01:53:35	Basin		Toileting
2012-11-12 01:53:53	2012-11-12 01:53:57	Door Bedroom		Toileting
2012-11-12 01:55:09	2012-11-12 09:30:35	Bed		Sleeping
2012-11-12 09:31:16	2012-11-12 09:31:19	Door Bedroom		Sleeping
2012-11-12 09:37:28	2012-11-12 09:38:45	Toilet		Toileting
2012-11-12 09:42:02	2012-11-12 09:42:05	Door Kitchen		Breakfast
2012-11-12 09:47:57	2012-11-12 09:48:12	Fridge		Breakfast
2012-11-12 09:48:21	2012-11-12 09:50:02	Microwave		Breakfast
2012-11-12 09:52:33	2012-11-12 09:52:35	Door Kitchen		Breakfast
2012-11-12 09:56:16	2012-11-12 09:56:20	Door Bedroom		Spare_Time/TV
2012-11-12 09:56:25	2012-11-12 09:56:28	Door Bathroom		Spare_Time/TV
2012-11-12 09:57:36	2012-11-12 10:14:50	Seat		Spare_Time/TV
2012-11-12 10:15:44	2012-11-12 10:15:47	Door Bathroom		Spare_Time/TV
2012-11-12 10:18:19	2012-11-12 10:20:15	Basin		Grooming
2012-11-12 10:21:39	2012-11-12 10:29:45	Shower		Showering
2012-11-12 10:33:09	2012-11-12 10:33:10	Door Bathroom		Grooming
2012-11-12 10:33:23	2012-11-12 10:33:25	Door Kitchen		Grooming
2012-11-12 10:33:27	2012-11-12 10:33:42	Door Kitchen		Grooming
2012-11-12 10:33:47	2012-11-12 10:34:10	Basin		Grooming
2012-11-12 10:40:29	2012-11-12 10:40:31	Door Kitchen		Grooming
2012-11-12 10:42:05	2012-11-12 10:42:07	Basin		Grooming
2012-11-12 10:47:17	2012-11-12 10:47:24	Door Bathroom		Spare_Time/TV
2012-11-12 11:04:53	2012-11-12 11:04:56	Door Bathroom		Spare_Time/TV
2012-11-12 11:05:44	2012-11-12 11:05:47	Door Kitchen		Snack
2012-11-12 11:06:11	2012-11-12 11:06:34	Fridge		Snack
2012-11-12 11:09:44	2012-11-12 11:10:42	Microwave		Snack
2012-11-12 11:20:40	2012-11-12 11:20:45	Door Kitchen		Snack
2012-11-12 11:37:49	2012-11-12 11:37:52	Door Kitchen		Snack
2012-11-12 11:38:27	2012-11-12 11:40:06	Fridge		Snack
2012-11-12 11:43:52	2012-11-12 11:43:55	Fridge		Snack
2012-11-12 11:47:09	2012-11-12 11:47:23	Door Kitchen		Snack
2012-11-12 11:47:38	2012-11-12 11:47:48	Door Bathroom		Snack
2012-11-12 12:41:44	2012-11-12 12:41:46	Door Bedroom		Toileting
2012-11-12 12:41:59	2012-11-12 12:42:39	Toilet		Toileting
2012-11-12 12:52:58	2012-11-12 12:55:12	Toilet		Toileting
2012-11-12 13:00:02	2012-11-12 13:07:11	Basin		Grooming
2012-11-12 13:12:47	2012-11-12 13:18:24	Basin		Grooming
2012-11-12 13:19:01	2012-11-12 13:19:52	Door Bathroom		Spare_Time/TV
2012-11-12 13:32:42	2012-11-12 13:32:46	Door Bathroom		Spare_Time/TV
2012-11-12 13:47:49	2012-11-12 13:47:51	Door Kitchen		Lunch
2012-11-12 13:52:31	2012-11-12 13:55:39	Fridge		Lunch
